4/5/25, 2:33 PM
Project Statistics

                 	Segments	 Words	Characters (w/o spaces)	Characters (w/ spaces)	#Files	
Total:           	   22817	189117	                1174322	               1339416	   420	
Remaining:       	   21928	183953	                1140652	               1301422	   398	
Unique:          	   17753	172251	                1053352	               1206241	   420	
Unique Remaining:	   17097	167726	                1023507	               1172476	   398	


Individual File Statistics:

File Name                                                                                    	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (w/o spaces)	Remaining Characters (w/o spaces)	Unique Characters (w/o spaces)	Unique Remaining Characters (w/o spaces)	Total Characters (w/ spaces)	Remaining Characters (w/ spaces)	Unique Characters (w/ spaces)	Unique Remaining Characters (w/ spaces)	
404.md                                                                                       	             4	                 0	              4	                        0	         36	              0	          36	                     0	                          175	                                0	                           175	                                       0	                         211	                               0	                          211	                                      0	
api/index.md                                                                                 	             8	                 0	              8	                        0	        138	              0	         138	                     0	                          787	                                0	                           787	                                       0	                         917	                               0	                          917	                                      0	
community-resources/coding.md                                                                	            29	                 0	             29	                        0	        143	              0	         143	                     0	                         1165	                                0	                          1165	                                       0	                        1285	                               0	                         1285	                                      0	
community-resources/embedded-stride.md                                                       	            10	                 0	             10	                        0	         33	              0	          33	                     0	                          257	                                0	                           257	                                       0	                         281	                               0	                          281	                                      0	
community-resources/engine.md                                                                	             8	                 0	              8	                        0	         33	              0	          33	                     0	                          279	                                0	                           279	                                       0	                         304	                               0	                          304	                                      0	
community-resources/example-projects.md                                                      	            46	                 0	             45	                        0	        181	              0	         179	                     0	                         1324	                                0	                          1315	                                       0	                        1457	                               0	                         1447	                                      0	
community-resources/games-and-demos.md                                                       	            44	                 0	             43	                        0	        201	              0	         200	                     0	                         1466	                                0	                          1449	                                       0	                        1634	                               0	                         1617	                                      0	
community-resources/index.md                                                                 	            42	                 0	             40	                        0	        197	              0	         191	                     0	                         1200	                                0	                          1150	                                       0	                        1367	                               0	                         1311	                                      0	
community-resources/models-and-animations.md                                                 	            13	                 0	             13	                        0	         40	              0	          40	                     0	                          347	                                0	                           347	                                       0	                         374	                               0	                          374	                                      0	
community-resources/physics.md                                                               	             5	                 0	              5	                        0	         11	              0	          11	                     0	                          114	                                0	                           114	                                       0	                         120	                               0	                          120	                                      0	
community-resources/rendering-and-camera.md                                                  	            31	                 0	             31	                        0	        153	              0	         153	                     0	                         1399	                                0	                          1399	                                       0	                        1537	                               0	                         1537	                                      0	
community-resources/shaders.md                                                               	            14	                 0	             14	                        0	         68	              0	          68	                     0	                          595	                                0	                           595	                                       0	                         649	                               0	                          649	                                      0	
community-resources/terrain-and-water.md                                                     	            12	                 0	             11	                        0	         38	              0	          35	                     0	                          358	                                0	                           333	                                       0	                         389	                               0	                          362	                                      0	
community-resources/tools-and-importers.md                                                   	            18	                 0	             18	                        0	         95	              0	          95	                     0	                          743	                                0	                           743	                                       0	                         821	                               0	                          821	                                      0	
community-resources/tutorials-and-articles.md                                                	            39	                 0	             39	                        0	        153	              0	         153	                     0	                         1104	                                0	                          1104	                                       0	                        1225	                               0	                         1225	                                      0	
community-resources/ui.md                                                                    	            11	                 0	             11	                        0	         62	              0	          62	                     0	                          412	                                0	                           412	                                       0	                         466	                               0	                          466	                                      0	
community-resources/visual-programming.md                                                    	             5	                 0	              5	                        0	         25	              0	          25	                     0	                          175	                                0	                           175	                                       0	                         195	                               0	                          195	                                      0	
